contractKey, balance 
34121,238.00 
34188,238.00 
19633,219.00 
33980,219.00 
33984,219.00 
34468,219.00 
34633,219.00 
33965,219.00 
34105,219.00 
33964,219.00 
45030,219.00 
34183,200.00 
45697,110.00 
45571,110.00 
45405,110.00 
45499,110.00 
34291,200.00 
33972,200.00 
33975,300.00 
34453,200.00 
34774,200.00 
34773,200.00 
45424,110.00 
34454,200.00 
46064,110.00 
46091,110.00 
46129,110.00 
46033,110.00 
34446,181.00 
46813,100.00 
46219,100.00 
46735,100.00 
46386,100.00 
46505,100.00 
46809,100.00 
45802,100.00 
45711,100.00 
45960,100.00 
45959,100.00 
46162,100.00 
34360,271.00 
34422,181.00 
34423,181.00 
34445,271.00 
40473,181.00 
46188,100.00 
46126,100.00 
47017,100.00 
47088,226.00 
47115,100.00 
46434,90.00 
45097,162.00 
45832,90.00 
45501,242.00 
34432,162.00 
34272,242.00 
46375,90.00 
46545,90.00 
46512,90.00 
46120,90.00 
47044,90.00 
47043,90.00 
47182,90.00 
46705,90.00 
18813,162.00 
33360,143.00 
29494,143.00 
25919,80.00 
25877,143.00 
24320,80.00 
46531,80.00 
46932,80.00 
1930,80.00 
46530,80.00 
45012,143.00 
45559,80.00 
47196,80.00 
47079,80.00 
34442,143.00 
34443,143.00 
45231,143.00 
46816,80.00 
46765,80.00 
46766,80.00 
46639,80.00 
46071,80.00 
46218,80.00 
46893,80.00 
46899,80.00 
46343,80.00 
46370,80.00 
46326,80.00 
46298,80.00 
46931,80.00 
46979,80.00 
46973,80.00 
47025,80.00 
47028,178.00 
47056,80.00 
47131,178.00 
47130,80.00 
47148,80.00 
47145,80.00 
47144,80.00 
47122,80.00 
47120,80.00 
47042,80.00 
47004,80.00 
46963,80.00 
46855,80.00 
46850,80.00 
46769,80.00 
46714,80.00 
46702,80.00 
46701,80.00 
46734,80.00 
46732,80.00 
46730,80.00 
46703,80.00 
46700,80.00 
45963,80.00 
47922,80.00 
47920,80.00 
47915,80.00 
47911,80.00 
47902,80.00 
47880,80.00 
47847,80.00 
47850,80.00 
47840,80.00 
47833,80.00 
47819,80.00 
47817,80.00 
47813,80.00 
47812,80.00 
47778,80.00 
47770,80.00 
47713,80.00 
47699,80.00 
47638,80.00 
47600,80.00 
47584,80.00 
47582,80.00 
47569,80.00 
47544,80.00 
47537,80.00 
47464,80.00 
47423,80.00 
47432,143.00 
47374,80.00 
47358,80.00 
47334,80.00 
47305,80.00 
47269,80.00 
47248,80.00 
47242,80.00 
47241,80.00 
47240,80.00 
47236,80.00 
47223,80.00 
47217,80.00 
46720,80.00 
47705,80.00 
47967,80.00 
47706,178.00 
47604,80.00 
45523,80.00 
45522,80.00 
47580,80.00 
46844,80.00 
46397,70.00 
46607,70.00 
46744,70.00 
46311,70.00 
46626,70.00 
46609,70.00 
46903,70.00 
46835,70.00 
46620,70.00 
46410,70.00 
45313,70.00 
46612,70.00 
46825,70.00 
46747,70.00 
45506,70.00 
47098,70.00 
34293,124.00 
46190,70.00 
46828,70.00 
46902,70.00 
46910,70.00 
46552,70.00 
46398,70.00 
46419,70.00 
46413,70.00 
46485,70.00 
46202,70.00 
46074,70.00 
46958,70.00 
47095,70.00 
47114,70.00 
47111,70.00 
47005,70.00 
46941,70.00 
46810,70.00 
47937,70.00 
47928,70.00 
47927,70.00 
47925,70.00 
47900,70.00 
47867,70.00 
47866,70.00 
47865,70.00 
47860,70.00 
47854,70.00 
47829,70.00 
47755,70.00 
47754,70.00 
47753,70.00 
47734,70.00 
47687,70.00 
47676,70.00 
47631,70.00 
47627,70.00 
47554,70.00 
47514,154.00 
47510,70.00 
47504,154.00 
47451,70.00 
47449,154.00 
47448,70.00 
47446,70.00 
47436,70.00 
47320,70.00 
47315,70.00 
47314,70.00 
47252,70.00 
47228,70.00 
48553,70.00 
48460,70.00 
48359,70.00 
48351,70.00 
48337,70.00 
48239,70.00 
48133,70.00 
48102,70.00 
48089,70.00 
48088,70.00 
48087,70.00 
48064,70.00 
48023,70.00 
48005,70.00 
48004,70.00 
47999,70.00 
47997,70.00 
47995,70.00 
47444,70.00 
47442,70.00 
47441,70.00 
48496,70.00 
48372,70.00 
48060,70.00 
46076,70.00 
45647,40.00 
46862,60.00 
15149,105.00 
46352,60.00 
46433,60.00 
46546,60.00 
46384,60.00 
46385,60.00 
45797,60.00 
45509,60.00 
45354,60.00 
46492,60.00 
46647,60.00 
34434,105.00 
46646,60.00 
46425,60.00 
46070,60.00 
46116,60.00 
8488,105.00 
46122,60.00 
46927,60.00 
47099,60.00 
46962,60.00 
46838,60.00 
47750,60.00 
4931,105.00 
47332,60.00 
47274,60.00 
47250,60.00 
46634,60.00 
34432,105.00 
46843,60.00 
48537,60.00 
48453,60.00 
